N,time
100,0
2100,1
4100,1
6100,3
8100,6
10100,6
12100,5
14100,8
16100,8
18100,9
20100,10
22100,10
24100,12
26100,13
28100,14
30100,14
32100,15
34100,16
36100,16
38100,18
40100,18
42100,20
44100,21
46100,21
48100,22
50100,23
52100,24
54100,24
56100,25
58100,27
60100,28
62100,31
64100,29
66100,33
68100,37
70100,32
72100,34
74100,35
76100,36
78100,37
80100,36
82100,38
84100,38
86100,39
88100,41
90100,42
92100,43
94100,44
96100,46
98100,51
100100,52
102100,50
104100,48
106100,50
108100,51
110100,50
112100,49
114100,53
116100,53
118100,53
120100,54
122100,58
124100,59
126100,58
128100,58
130100,60
132100,60
134100,60
136100,72
138100,66
140100,63
142100,65
144100,68
146100,67
148100,65
150100,67
152100,70
154100,70
156100,70
158100,69
160100,73
162100,79
164100,73
166100,75
168100,75
170100,75
172100,77
174100,87
176100,85
178100,83
180100,80
182100,79
184100,82
186100,82
188100,82
190100,82
192100,87
194100,91
196100,88
198100,85
200100,89
202100,89
204100,88
206100,89
208100,91
210100,97
212100,94
214100,92
216100,94
218100,92
220100,98
222100,99
224100,96
226100,98
228100,101
230100,103
232100,98
234100,104
236100,105
238100,105
240100,106
242100,105
244100,110
246100,105
248100,108
250100,106
252100,113
254100,112
256100,111
258100,109
260100,109
262100,118
264100,112
266100,115
268100,115
270100,114
272100,119
274100,118
276100,115
278100,120
280100,116
282100,120
284100,126
286100,120
288100,120
290100,127
292100,121
294100,128
296100,130
298100,128
300100,131
302100,126
304100,125
306100,125
308100,135
310100,136
312100,135
314100,133
316100,133
318100,134
320100,134
322100,133
324100,138
326100,142
328100,139
330100,139
332100,139
334100,134
336100,140
338100,144
340100,144
342100,145
344100,148
346100,146
348100,154
350100,153
352100,136
354100,147
356100,148
358100,143
360100,154
362100,150
364100,150
366100,148
368100,155
370100,149
372100,159
374100,158
376100,162
378100,158
380100,156
382100,158
384100,161
386100,160
388100,166
390100,155
392100,161
394100,166
396100,164
398100,166
400100,166
402100,169
404100,169
406100,170
408100,165
410100,167
412100,177
414100,171
416100,163
418100,177
420100,177
422100,173
424100,177
426100,178
428100,174
430100,181
432100,179
434100,178
436100,178
438100,174
440100,188
442100,177
444100,180
446100,175
448100,178
450100,180
452100,183
454100,188
456100,193
458100,180
460100,181
462100,191
464100,187
466100,187
468100,185
470100,186
472100,194
474100,184
476100,183
478100,191
480100,195
482100,191
484100,188
486100,199
488100,191
490100,198
492100,205
494100,194
496100,198
498100,201
500100,193
502100,194
504100,195
506100,192
508100,214
510100,203
512100,188
514100,197
516100,208
518100,214
520100,209
522100,206
524100,209
526100,205
528100,207
530100,224
532100,225
534100,222
536100,220
538100,221
540100,219
542100,222
544100,223
546100,217
548100,222
550100,227
552100,208
554100,218
556100,223
558100,224
560100,222
562100,212
564100,218
566100,227
568100,238
570100,220
572100,233
574100,225
576100,211
578100,233
580100,220
582100,236
584100,229
586100,233
588100,241
590100,226
592100,239
594100,231
596100,226
598100,223
600100,235
602100,240
604100,249
606100,224
608100,251
610100,230
612100,227
614100,245
616100,222
618100,237
620100,222
622100,239
624100,246
626100,242
628100,237
630100,246
632100,242
634100,234
636100,260
638100,253
640100,250
642100,254
644100,262
646100,255
648100,260
650100,246
652100,246
654100,246
656100,273
658100,248
660100,236
662100,247
664100,251
666100,249
668100,252
670100,257
672100,252
674100,269
676100,248
678100,256
680100,269
682100,251
684100,263
686100,258
688100,249
690100,250
692100,248
694100,259
696100,273
698100,264
700100,262
702100,267
704100,273
706100,258
708100,279
710100,266
712100,276
714100,271
716100,265
718100,271
720100,268
722100,277
724100,268
726100,264
728100,281
730100,282
732100,276
734100,273
736100,284
738100,277
740100,262
742100,267
744100,279
746100,271
748100,279
750100,276
752100,289
754100,270
756100,280
758100,265
760100,276
762100,288
764100,282
766100,275
768100,265
770100,287
772100,284
774100,285
776100,281
778100,286
780100,292
782100,287
784100,281
786100,271
788100,297
790100,275
792100,282
794100,303
796100,285
798100,280
800100,288
802100,296
804100,284
806100,306
808100,300
810100,301
812100,307
814100,283
816100,300
818100,288
820100,300
822100,280
824100,302
826100,307
828100,315
830100,302
832100,317
834100,331
836100,301
838100,297
840100,290
842100,297
844100,309
846100,308
848100,323
850100,319
852100,300
854100,298
856100,319
858100,304
860100,302
862100,317
864100,313
866100,296
868100,303
870100,316
872100,289
874100,306
876100,308
878100,296
880100,289
882100,322
884100,302
886100,313
888100,325
890100,301
892100,294
894100,315
896100,281
898100,318
900100,310
902100,317
904100,325
906100,326
908100,309
910100,311
912100,326
914100,339
916100,333
918100,328
920100,332
922100,325
924100,316
926100,345
928100,326
930100,306
932100,322
934100,320
936100,310
938100,332
940100,334
942100,344
944100,323
946100,327
948100,331
950100,348
952100,355
954100,326
956100,338
958100,339
960100,322
962100,328
964100,330
966100,326
968100,335
970100,336
972100,335
974100,314
976100,330
978100,342
980100,336
982100,340
984100,348
986100,327
988100,322
990100,352
992100,328
994100,352
996100,353
998100,351
