N,time
100,0
2100,0
4100,1
6100,2
8100,3
10100,5
12100,6
14100,5
16100,7
18100,7
20100,8
22100,8
24100,10
26100,10
28100,11
30100,12
32100,13
34100,14
36100,13
38100,16
40100,16
42100,16
44100,18
46100,18
48100,18
50100,20
52100,20
54100,23
56100,22
58100,23
60100,24
62100,24
64100,25
66100,27
68100,26
70100,27
72100,30
74100,30
76100,30
78100,31
80100,31
82100,32
84100,33
86100,34
88100,35
90100,36
92100,36
94100,37
96100,37
98100,38
100100,40
102100,40
104100,40
106100,41
108100,44
110100,43
112100,44
114100,45
116100,45
118100,48
120100,49
122100,48
124100,49
126100,49
128100,50
130100,51
132100,52
134100,52
136100,53
138100,54
140100,56
142100,58
144100,59
146100,58
148100,59
150100,61
152100,61
154100,60
156100,62
158100,63
160100,63
162100,64
164100,64
166100,66
168100,68
170100,68
172100,68
174100,71
176100,72
178100,70
180100,71
182100,71
184100,72
186100,73
188100,76
190100,79
192100,75
194100,75
196100,76
198100,78
200100,80
202100,87
204100,81
206100,84
208100,86
210100,85
212100,85
214100,85
216100,85
218100,86
220100,87
222100,88
224100,92
226100,90
228100,92
230100,93
232100,93
234100,92
236100,94
238100,99
240100,96
242100,95
244100,95
246100,98
248100,101
250100,98
252100,98
254100,103
256100,102
258100,101
260100,102
262100,102
264100,104
266100,106
268100,106
270100,106
272100,108
274100,107
276100,109
278100,117
280100,112
282100,116
284100,112
286100,113
288100,115
290100,117
292100,118
294100,118
296100,119
298100,118
300100,120
302100,125
304100,123
306100,123
308100,122
310100,121
312100,129
314100,124
316100,125
318100,127
320100,127
322100,132
324100,128
326100,128
328100,128
330100,130
332100,132
334100,132
336100,136
338100,134
340100,132
342100,135
344100,144
346100,138
348100,140
350100,139
352100,138
354100,140
356100,141
358100,144
360100,142
362100,145
364100,145
366100,142
368100,147
370100,146
372100,159
374100,144
376100,154
378100,161
380100,158
382100,161
384100,156
386100,158
388100,156
390100,158
392100,154
394100,164
396100,173
398100,170
400100,176
402100,169
404100,164
406100,175
408100,161
410100,159
412100,174
414100,171
416100,228
418100,164
420100,167
422100,172
424100,166
426100,169
428100,185
430100,177
432100,177
434100,175
436100,200
438100,178
440100,210
442100,187
444100,190
446100,191
448100,185
450100,186
452100,194
454100,192
456100,187
458100,206
460100,188
462100,187
464100,186
466100,197
468100,188
470100,194
472100,195
474100,192
476100,192
478100,197
480100,194
482100,211
484100,194
486100,200
488100,207
490100,204
492100,197
494100,203
496100,198
498100,216
500100,195
502100,197
504100,202
506100,222
508100,208
510100,225
512100,200
514100,205
516100,207
518100,205
520100,225
522100,222
524100,210
526100,230
528100,215
530100,213
532100,223
534100,210
536100,233
538100,226
540100,215
542100,220
544100,215
546100,219
548100,218
550100,229
552100,231
554100,220
556100,249
558100,226
560100,234
562100,230
564100,242
566100,231
568100,289
570100,234
572100,228
574100,235
576100,229
578100,228
580100,239
582100,231
584100,232
586100,236
588100,236
590100,234
592100,243
594100,242
596100,250
598100,252
600100,260
602100,238
604100,242
606100,252
608100,246
610100,255
612100,253
614100,257
616100,253
618100,256
620100,251
622100,263
624100,255
626100,255
628100,247
630100,253
632100,244
634100,250
636100,254
638100,255
640100,249
642100,256
644100,256
646100,255
648100,263
650100,256
652100,255
654100,257
656100,260
658100,268
660100,265
662100,266
664100,267
666100,269
668100,268
670100,268
672100,265
674100,264
676100,266
678100,271
680100,269
682100,271
684100,271
686100,271
688100,268
690100,273
692100,273
694100,284
696100,279
698100,284
700100,280
702100,283
704100,278
706100,279
708100,292
710100,279
712100,282
714100,285
716100,285
718100,281
720100,286
722100,295
724100,289
726100,287
728100,289
730100,293
732100,289
734100,297
736100,295
738100,290
740100,294
742100,292
744100,299
746100,297
748100,293
750100,306
752100,299
754100,299
756100,301
758100,302
760100,300
762100,307
764100,307
766100,303
768100,305
770100,304
772100,309
774100,307
776100,314
778100,315
780100,310
782100,313
784100,306
786100,312
788100,310
790100,315
792100,319
794100,314
796100,326
798100,316
800100,323
802100,316
804100,334
806100,321
808100,319
810100,319
812100,326
814100,323
816100,328
818100,328
820100,322
822100,329
824100,326
826100,329
828100,333
830100,330
832100,337
834100,332
836100,335
838100,336
840100,334
842100,332
844100,333
846100,336
848100,337
850100,336
852100,333
854100,352
856100,337
858100,344
860100,339
862100,343
864100,344
866100,357
868100,345
870100,343
872100,346
874100,344
876100,345
878100,353
880100,346
882100,345
884100,355
886100,357
888100,357
890100,369
892100,351
894100,353
896100,352
898100,355
900100,361
902100,358
904100,355
906100,359
908100,363
910100,361
912100,367
914100,369
916100,367
918100,367
920100,369
922100,368
924100,377
926100,364
928100,370
930100,367
932100,374
934100,379
936100,365
938100,373
940100,378
942100,374
944100,399
946100,389
948100,376
950100,379
952100,373
954100,375
956100,398
958100,376
960100,385
962100,380
964100,379
966100,386
968100,384
970100,385
972100,392
974100,385
976100,389
978100,394
980100,388
982100,388
984100,389
986100,402
988100,440
990100,422
992100,416
994100,407
996100,399
998100,425
