N,time_full,time_forward,time_backward
100,0.02001,0.0210105,0.0210105
1100,1.81215,1.79006,1.79006
2100,6.36842,6.36842,6.56842
3100,13.8281,13.6406,13.625
4100,24.4167,23.8958,24
5100,38.5641,37.5385,37.8718
6100,56.6562,54.3125,56
7100,77.4286,75.2857,75.9643
8100,103.417,99.625,101.25
9100,134.095,129.286,130.524
10100,169.947,162.211,162.263
11100,211,199.278,198.944
12100,252.375,239.875,241.75
13100,298.267,287.8,288.867
14100,409.786,346.714,355.143
15100,409.231,396.308,397.077
16100,468.667,458.833,461
17100,535.545,534.091,528.545
18100,610.909,602,605.364
19100,680.8,683.7,689.5
