N,time1,time2,time3,iters1,iters2,iters3
100,0.00138001,0.00135001,0.00203002,0.00376004,0.00359004,0.00340003
1100,0.0238724,0.0218922,0.0339934,0.99846,0.867657,0.994829
2100,0.0504096,0.0457887,0.068473,4.54169,3.91871,4.44045
3100,0.0741085,0.071938,0.107287,14.8847,8.79752,10.7163
4100,0.106601,0.097581,0.145551,43.3038,16.9914,19.0545
5100,0.132653,0.12602,0.187245,30.5388,27.5449,28.9347
6100,0.158633,0.154973,0.228798,49.1056,41.1147,51.8353
7100,0.183949,0.181818,0.269176,61.0298,57.7379,71.1697
8100,0.210697,0.209887,0.311994,93.4506,85.2342,88.0916
9100,0.25592,0.239526,0.354281,121.228,107.132,131.484
10100,0.283838,0.270707,0.39798,144.039,137.747,151.201
11100,0.312222,0.304444,0.446667,178.014,162.108,180.041
12100,0.343826,0.335351,0.492736,232.076,200.985,237.471
13100,0.373526,0.363041,0.533421,273.009,239.271,267.603
14100,0.399154,0.393512,0.578279,324.884,294.093,373.873
15100,0.424471,0.422961,0.623867,344.147,344.376,359.879
16100,0.454106,0.452496,0.669887,435.196,366.024,487.605
17100,0.518836,0.484589,0.715753,468.346,421.012,490.223
18100,0.550725,0.519928,0.764493,513.705,503.781,528.812
19100,0.581262,0.552581,0.810707,586.191,577.069,638.226
