time,position,velocity,energy
0,0.98,-0.2,0.5002
0.2,0.9204,-0.392,0.5004
0.4,0.823592,-0.56824,0.5006
0.6,0.693472,-0.721594,0.5008
0.8,0.535284,-0.845856,0.501001
1,0.355407,-0.935996,0.501201
1.2,0.1611,-0.988357,0.501402
1.4,-0.0397937,-1.00081,0.501602
1.6,-0.23916,-0.972835,0.501803
1.8,-0.428944,-0.905547,0.502004
2,-0.601474,-0.801647,0.502204
2.2,-0.749774,-0.665319,0.502405
2.4,-0.867842,-0.502058,0.502606
2.6,-0.950897,-0.318448,0.502807
2.8,-0.995569,-0.1219,0.503008
3,-1.00004,0.0796519,0.50321
3.2,-0.964106,0.278066,0.503411
3.4,-0.889211,0.465326,0.503612
3.6,-0.778361,0.633862,0.503814
3.8,-0.636022,0.776857,0.504015
4,-0.46793,0.888524,0.504217
4.2,-0.280867,0.96434,0.504419
4.4,-0.0823813,1.00123,0.50462
4.6,0.119512,0.997678,0.504822
4.8,0.316657,0.953822,0.505024
5,0.501088,0.871414,0.505226
5.2,0.665349,0.753768,0.505428
5.4,0.802796,0.605623,0.50563
5.6,0.907865,0.432951,0.505833
5.8,0.976298,0.242719,0.506035
6,1.00532,0.0426056,0.506237
6.2,0.99373,-0.15931,0.50644
6.4,0.941994,-0.35487,0.506642
6.6,0.85218,-0.536171,0.506845
6.8,0.727902,-0.695884,0.507048
7,0.574168,-0.827546,0.507251
7.2,0.397175,-0.925829,0.507454
7.4,0.204066,-0.986747,0.507657
7.6,0.00263487,-1.00783,0.50786
7.8,-0.198983,-0.988196,0.508063
8,-0.392642,-0.928635,0.508266
8.2,-0.570517,-0.831534,0.508469
8.4,-0.725413,-0.7008,0.508673
8.6,-0.851065,-0.541702,0.508876
8.8,-0.942384,-0.360655,0.50908
9,-0.995667,-0.164965,0.509283
9.2,-1.00875,0.0374681,0.509487
9.4,-0.981078,0.238468,0.509691
9.6,-0.913763,0.429914,0.509895
9.8,-0.809505,0.604069,0.510099
10,-0.672501,0.753888,0.510303
10.2,-0.508273,0.873311,0.510507
10.4,-0.323446,0.957499,0.510711
10.6,-0.125477,1.00304,0.510915
10.8,0.0776402,1.00807,0.51112
11,0.277702,0.972384,0.511324
11.2,0.466625,0.897395,0.511529
11.4,0.636771,0.786123,0.511733
11.6,0.78126,0.643046,0.511938
11.8,0.894244,0.473933,0.512143
12,0.971146,0.285605,0.512348
12.2,1.00884,0.0856641,0.512552
12.4,1.0058,-0.117818,0.512758
12.6,0.962121,-0.316622,0.512963
12.8,0.879554,-0.502713,0.513168
13,0.76142,-0.66857,0.513373
13.2,0.612478,-0.807482,0.513578
13.4,0.438732,-0.913828,0.513784
13.6,0.247191,-0.983298,0.513989
13.8,0.0455879,-1.01307,0.514195
14,-0.157938,-1.00193,0.514401
14.2,-0.355165,-0.9503,0.514606
14.4,-0.538121,-0.860262,0.514812
14.6,-0.699411,-0.735432,0.515018
14.8,-0.832509,-0.580841,0.515224
15,-0.932027,-0.402722,0.51543
15.2,-0.993931,-0.208263,0.515636
15.4,-1.01571,-0.00531098,0.515843
15.6,-0.996453,0.197936,0.516049
15.8,-0.936937,0.393268,0.516255
16,-0.839545,0.57279,0.516462
16.2,-0.708196,0.729243,0.516669
16.4,-0.548183,0.856298,0.516875
16.6,-0.36596,0.948808,0.517082
16.8,-0.168879,1.00302,0.517289
17,0.0351034,1.01674,0.517496
17.2,0.237749,0.989384,0.517703
17.4,0.430871,0.922046,0.51791
17.6,0.606663,0.817431,0.518117
17.8,0.758016,0.67975,0.518324
18,0.878806,0.514552,0.518532
18.2,0.96414,0.3285,0.518739
18.4,1.01056,0.129102,0.518946
18.6,1.01617,-0.0755916,0.519154
18.8,0.980725,-0.277313,0.519362
19,0.905648,-0.467912,0.519569
19.2,0.793952,-0.639683,0.519777
19.4,0.650137,-0.78568,0.519985
19.6,0.479998,-0.899993,0.520193
19.8,0.290399,-0.977993,0.520401
20,0.0889926,-1.01651,0.520609
20.2,-0.11609,-1.01398,0.520818
20.4,-0.316564,-0.970484,0.521026
20.6,-0.50433,-0.887761,0.521234
20.8,-0.671796,-0.76914,0.521443
21,-0.812188,-0.619398,0.521651
21.2,-0.919824,-0.444573,0.52186
21.4,-0.990342,-0.251717,0.522069
21.6,-1.02088,-0.0486139,0.522278
21.8,-1.01018,0.156534,0.522487
22,-0.958673,0.35544,0.522696
22.2,-0.868411,0.540066,0.522905
22.4,-0.74303,0.702947,0.523114
22.6,-0.58758,0.837494,0.523323
22.8,-0.40833,0.93826,0.523532
23,-0.212511,1.00116,0.523742
23.2,-0.0080288,1.02364,0.523951
23.4,0.19686,1.00477,0.524161
23.6,0.393877,0.945305,0.524371
23.8,0.575061,0.847624,0.52458
24,0.733084,0.715659,0.52479
24.2,0.861554,0.554729,0.525
24.4,0.955269,0.371324,0.52521
24.6,1.01043,0.172843,0.52542
24.8,1.02479,-0.0326991,0.52563
25,0.997753,-0.237003,0.525841
25.2,0.930397,-0.431813,0.526051
25.4,0.825427,-0.609256,0.526261
25.6,0.687067,-0.762157,0.526472
25.8,0.520894,-0.884327,0.526682
26,0.333611,-0.970819,0.526893
26.2,0.132775,-1.01812,0.527104
26.4,-0.0735057,-1.02432,0.527315
26.6,-0.276899,-0.98913,0.527526
26.8,-0.469187,-0.913968,0.527737
27,-0.642597,-0.801851,0.527948
27.2,-0.790115,-0.657294,0.528159
27.4,-0.905772,-0.486125,0.52837
27.6,-0.984881,-0.295249,0.528581
27.8,-1.02423,-0.0923674,0.528793
28,-1.02222,0.114327,0.529004
28.2,-0.978912,0.316485,0.529216
28.4,-0.896037,0.505937,0.529428
28.6,-0.776929,0.675026,0.529639
28.8,-0.626385,0.816911,0.529851
29,-0.450475,0.92585,0.530063
29.2,-0.256296,0.997428,0.530275
29.4,-0.0516842,1.02874,0.530487
29.6,0.155097,1.0185,0.5307
29.8,0.355695,0.967111,0.530912
30,0.542004,0.87663,0.531124
30.2,0.70649,0.750697,0.531337
30.4,0.842499,0.594385,0.531549
30.6,0.944526,0.413997,0.531762
30.8,1.00844,0.216812,0.531975
31,1.03163,0.0107888,0.532187
31.2,1.01315,-0.195753,0.5324
