time,position,velocity
0,1,0
0.05,1,0
0.1,1,0
0.15,1,0
0.2,1,0
0.25,1,0
0.3,1,0
0.35,1,0
0.4,1,0
0.45,1,0
0.5,1,0
0.55,1,0
0.6,1,0
0.65,1,0
0.7,1,0
0.75,1,0
0.8,1,0
0.85,1,0
0.9,1,0
0.95,1,0
1,1,0
1.05,1,0
1.1,1,0
1.15,1,0
1.2,1,0
1.25,1,0
1.3,1,0
1.35,1,0
1.4,1,0
1.45,1,0
1.5,1,0
1.55,1,0
1.6,1,0
1.65,1,0
1.7,1,0
1.75,1,0
1.8,1,0
1.85,1,0
1.9,1,0
1.95,1,0
2,1,0
2.05,1,0
2.1,1,0
2.15,1,0
2.2,1,0
2.25,1,0
2.3,1,0
2.35,1,0
2.4,1,0
2.45,1,0
2.5,1,0
2.55,1,0
2.6,1,0
2.65,1,0
2.7,1,0
2.75,1,0
2.8,1,0
2.85,1,0
2.9,1,0
2.95,1,0
3,1,0
3.05,1,0
3.1,1,0
3.15,1,0
3.2,1,0
3.25,1,0
3.3,1,0
3.35,1,0
3.4,1,0
3.45,1,0
3.5,1,0
3.55,1,0
3.6,1,0
3.65,1,0
3.7,1,0
3.75,1,0
3.8,1,0
3.85,1,0
3.9,1,0
3.95,1,0
4,1,0
4.05,1,0
4.1,1,0
4.15,1,0
4.2,1,0
4.25,1,0
4.3,1,0
4.35,1,0
4.4,1,0
4.45,1,0
4.5,1,0
4.55,1,0
4.6,1,0
4.65,1,0
4.7,1,0
4.75,1,0
4.8,1,0
4.85,1,0
4.9,1,0
4.95,1,0
5,1,0
5.05,1,0
5.1,1,0
5.15,1,0
5.2,1,0
5.25,1,0
5.3,1,0
5.35,1,0
5.4,1,0
5.45,1,0
5.5,1,0
5.55,1,0
5.6,1,0
5.65,1,0
5.7,1,0
5.75,1,0
5.8,1,0
5.85,1,0
5.9,1,0
5.95,1,0
6,1,0
6.05,1,0
6.1,1,0
6.15,1,0
6.2,1,0
6.25,1,0
6.3,1,-0.0166667
6.35,0.996959,-0.101403
6.4,0.990174,-0.167171
6.45,0.980489,-0.218023
6.5,0.968566,-0.257144
6.55,0.954928,-0.287043
6.6,0.939982,-0.309694
6.65,0.924052,-0.32665
6.7,0.907391,-0.339133
6.75,0.890197,-0.348105
6.8,0.872626,-0.354322
6.85,0.854801,-0.358381
6.9,0.836816,-0.360749
6.95,0.818748,-0.361796
7,0.800654,-0.361811
7.05,0.78258,-0.361023
7.1,0.764562,-0.35961
7.15,0.746627,-0.357715
7.2,0.728797,-0.355448
7.25,0.711087,-0.352896
7.3,0.693511,-0.350129
7.35,0.676077,-0.347199
7.4,0.658793,-0.344149
7.45,0.641663,-0.341013
7.5,0.624692,-0.337817
7.55,0.607882,-0.33458
7.6,0.591235,-0.33132
7.65,0.57475,-0.328047
7.7,0.55843,-0.324774
7.75,0.542273,-0.321506
7.8,0.526279,-0.31825
7.85,0.510448,-0.31501
7.9,0.494778,-0.311791
7.95,0.479268,-0.308594
8,0.463918,-0.305421
8.05,0.448726,-0.302275
8.1,0.43369,-0.299157
8.15,0.41881,-0.296066
8.2,0.404083,-0.293005
8.25,0.389509,-0.289972
8.3,0.375085,-0.286969
8.35,0.360811,-0.283996
8.4,0.346685,-0.281052
8.45,0.332705,-0.278138
